,gamma,true_positives,false_positives,false_negatives,true_negatives,error
122,1.4235848851693662e-10,1.0,1.0,0.0,0.0,0.35
123,1.511705248563969e-10,1.0,1.0,0.0,0.0,0.35
124,1.6052802908651074e-10,1.0,1.0,0.0,0.0,0.35
125,1.704647658455834e-10,1.0,1.0,0.0,0.0,0.35
126,1.8101658981391775e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
127,1.9222157508808806e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
128,2.0412015256352253e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
129,2.1675525582111254e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
130,2.3017247604424946e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
131,2.444202265252765e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
132,2.595499173549428e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
133,2.7561614092519065e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
134,2.9267686891462575e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
135,3.107936614674512e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
136,3.30031889320645e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
137,3.504609696808811e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
138,3.721546167023089e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
139,3.951911074689869e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
140,4.1965356444171564e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
141,4.4563025538842e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
142,4.732149118803195e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
143,5.025070675031137e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
144,5.336124170035491e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
145,5.666431976672752e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
146,6.017185943041111e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
147,6.389651693020321e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
148,6.785173193016368e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
149,7.205177601389097e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
150,7.651180418060982e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
151,8.124790952888336e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
152,8.627718132526465e-10,1.0,0.9994285714285714,0.0,0.0005714285714285715,0.3498
153,9.161776666741643e-10,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
154,9.728893596419788e-10,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
